pais_comprador,temporada,gasto_eur,operaciones
France,23/24,1166280000.00,122
Germany,22/23,557180000.00,96
Germany,23/24,838950000.00,95
Belgium,22/23,121236000.00,44
Brazil,22/23,59900000.00,13
Belgium,23/24,165455000.00,61
Saudi Arabia,24/25,454436000.00,31
France,22/23,701090000.00,101
"Korea, South",24/25,2673000.00,4
Norway,24/25,23810000.00,48
Brazil,23/24,73650000.00,16
Czech Republic,25/26,64755000.00,42
Russia,24/25,201340000.00,67
Türkiye,24/25,189038000.00,60
Switzerland,22/23,28830000.00,14
Mexico,24/25,43500000.00,13
Switzerland,23/24,39040000.00,25
Scotland,25/26,56340000.00,27
Argentina,24/25,41644000.00,12
Denmark,25/26,52850000.00,30
Italy,24/25,1227170000.00,142
England,25/26,4076700000.00,164
United States,22/23,68100000.00,24
United States,23/24,103900000.00,38
Netherlands,24/25,94127000.00,52
Poland,25/26,49499000.00,56
Croatia,22/23,10150000.00,6
Croatia,23/24,11370000.00,6
Japan,25/26,4925000.00,4
Australia,23/24,200000.00,1
Sweden,23/24,14079000.00,21
Denmark,24/25,50008000.00,41
Sweden,22/23,8713000.00,12
Argentina,25/26,11250000.00,5
Denmark,22/23,51109000.00,41
Denmark,23/24,50241000.00,39
Sweden,24/25,22385000.00,34
Germany,24/25,815600000.00,95
Saudi Arabia,23/24,896550000.00,42
France,24/25,947080000.00,90
Saudi Arabia,22/23,8890000.00,6
Serbia,25/26,17605000.00,15
Norway,22/23,23415000.00,23
"Korea, South",22/23,2000000.00,4
Norway,23/24,21495000.00,28
"Korea, South",23/24,1800000.00,2
Brazil,24/25,148950000.00,27
Belgium,24/25,106584000.00,55
Portugal,25/26,364321000.00,65
Austria,25/26,29710000.00,21
Ukraine,25/26,64260000.00,41
Türkiye,23/24,161385000.00,61
Türkiye,22/23,151123000.00,56
Russia,23/24,153220000.00,58
Mexico,23/24,43870000.00,12
Spain,25/26,741420000.00,75
Russia,22/23,76489000.00,57
Switzerland,24/25,25880000.00,16
Mexico,22/23,13000000.00,3
Spain,24/25,612690000.00,73
Scotland,22/23,52360000.00,13
Scotland,23/24,46450000.00,18
Switzerland,25/26,42548000.00,30
Argentina,22/23,2513000.00,2
Sweden,25/26,20649000.00,24
Argentina,23/24,9884000.00,5
Netherlands,25/26,233763000.00,66
Romania,23/24,4865000.00,11
Greece,22/23,32800000.00,20
England,24/25,2895100000.00,161
Italy,25/26,1332080000.00,144
Greece,23/24,37170000.00,16
Japan,24/25,8950000.00,6
Poland,24/25,16135000.00,28
Romania,22/23,4940000.00,12
Netherlands,22/23,183940000.00,42
Italy,22/23,888366000.00,136
Italy,23/24,1049460000.00,151
Netherlands,23/24,218928000.00,59
Greece,25/26,95933000.00,37
Romania,25/26,7780000.00,20
Croatia,24/25,12500000.00,12
United States,24/25,184210000.00,45
England,22/23,3142105000.00,155
Japan,22/23,4500000.00,4
United States,25/26,150200000.00,49
England,23/24,2944545000.00,141
Greece,24/25,52580000.00,27
Poland,23/24,7353000.00,15
Romania,24/25,11825000.00,20
Japan,23/24,3300000.00,4
Poland,22/23,6235000.00,16
Croatia,25/26,15425000.00,17
Germany,25/26,892975000.00,116
Austria,24/25,16910000.00,18
Portugal,24/25,254371000.00,54
Czech Republic,22/23,17775000.00,20
Belgium,25/26,140630000.00,71
France,25/26,719710000.00,98
Czech Republic,23/24,26793000.00,21
Brazil,25/26,271800000.00,27
Ukraine,24/25,54270000.00,36
Serbia,24/25,18115000.00,20
Spain,22/23,575670000.00,73
Spain,23/24,557090000.00,79
Türkiye,25/26,445760000.00,70
Scotland,24/25,60663000.00,16
Mexico,25/26,27010000.00,9
Russia,25/26,169525000.00,51
Austria,23/24,36460000.00,19
Portugal,23/24,253552000.00,44
Ukraine,23/24,40225000.00,27
Saudi Arabia,25/26,564552000.00,35
Serbia,23/24,15565000.00,14
Portugal,22/23,243460000.00,42
Czech Republic,24/25,33010000.00,26
Ukraine,22/23,10620000.00,15
Norway,25/26,37380000.00,47
Austria,22/23,38420000.00,13
Serbia,22/23,6680000.00,6
"Korea, South",25/26,385000.00,2
